page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
197051	15066	5987	89	3234	45
26482919	0	0	0	0	0
12067	172538	26249	459	13566	151
12075	7954	1130	15	760	6
21077671	22242	4732	63	3885	39
17471207	163	68	2	0	0
5135100	990	239	6	203	4
12717	105967	4963	101	887	17
2945398	588	91	3	52	2
2344274	723	83	5	66	4
1034172	18574	2648	18	0	0
12327	44932	9298	104	46	1
3731854	510	59	3	44	2
2808335	1174	497	9	464	7
195220	17323	4538	75	2427	33
1006797	6522	1045	30	535	11
3092173	1063	155	4	54	1
45397	72632	4285	59	1920	9
179599	9341	873	28	191	7
1256117	5430	736	22	589	14
12546	91358	10425	114	938	8
1536221	9707	733	20	338	4
44566676	867	38	2	19	1
38496384	315	63	2	0	0
450057	295	71	3	14	1
468868	5254	1040	30	411	6
470359	943	250	5	231	4
558393	10539	2064	30	634	10
26078203	2146	717	8	225	5
5829005	3889	1806	20	530	5
34138013	5139	557	24	311	12
177952	22822	3734	52	2526	27
5082697	1040	341	6	276	4
1054209	2338	306	5	248	1
475671	10498	2654	41	1057	14
6713059	158	0	0	0	0
12176	79484	19201	226	12085	97
12186	69641	18023	205	10390	83
256059	21557	2239	47	156	9
156496	3148	748	19	568	12
42548	7262	2652	46	2000	32
1619668	2932	695	23	485	14
2462492	787	268	5	255	4
8558463	664	209	5	176	3
8198636	41	0	0	0	0
6615836	298	83	4	11	1
309605	7839	3193	30	2947	17
2696805	1703	831	12	66	2
6618605	5940	1157	22	505	7
42120	105810	27558	222	5852	36
13959	108399	16614	167	5324	22
56680	24104	7630	92	4728	27
2465789	3399	1762	20	1023	8
939555	4949	1193	34	421	15
14216	18501	4868	62	3546	29
11442998	20743	4845	76	3655	40
6618439	1109	253	8	54	2
4581903	1012	305	11	63	3
1739103	2090	31	2	16	1
4497849	873	167	1	167	1
23309132	164	16	1	16	1
23320356	328	42	1	42	1
23327340	247	14	1	14	1
23333434	144	23	1	23	1
23380570	212	31	1	31	1
18560060	321	16	1	16	1
23435878	186	13	1	13	1
23610532	139	41	1	41	1
3824318	228	16	1	16	1
16539836	2691	42	2	42	2
23642805	172	23	1	23	1
21213722	1701	46	2	30	1
23433314	357	101	1	101	1
16540188	504	65	2	65	2
16540302	557	22	1	22	1
18687249	212	54	1	54	1
31361765	441	50	1	50	1
21041426	304	52	1	52	1
11348241	3464	304	7	46	1
15402341	580	51	2	23	1
32635991	273	19	1	19	1
23393445	255	29	1	29	1
21248944	454	60	2	47	1
36476456	119	24	1	24	1
1882151	2023	30	2	30	2
19009361	3191	22	1	22	1
35301964	795	50	1	50	1
19452825	569	52	1	52	1
21213713	3092	65	3	21	1
21260216	1835	22	1	22	1
7651928	1301	252	7	74	3
1060042	2306	975	17	300	9
1585508	509	164	7	151	6
979264	7272	2707	36	1450	17
